combo,fids,source,target,fold,system,n_participants,fusion,threshold_mode,acc,prec,rec,f1,tn,fp,fn,tp,roc_auc,pr_auc,fpr,threshold
n2_x_SG,LiWP_n2+SkipGram,best_single,S1,fold0,cross_feature,2,Soft,fixed_05,0.8249837345478205,0.7857432158768732,0.995382247306311,0.8782254413761883,596,529,9,1940,0.9442658913402885,0.9260820518663688,0.4702222222222222,0.5
n2_x_SG,LiWP_n2+SkipGram,best_single,S1,fold0,cross_feature,2,Soft,val_f1,0.8796356538711776,0.8567555354722096,0.9728065674704977,0.9111004324843825,808,317,53,1896,0.9442658913402885,0.9260820518663688,0.2817777777777778,0.63
n2_x_SG,LiWP_n2+SkipGram,best_single,S1,fold0,cross_feature,2,WeightedSoft,fixed_05,0.8249837345478205,0.7857432158768732,0.995382247306311,0.8782254413761883,596,529,9,1940,0.9444911920643064,0.9261640499197099,0.4702222222222222,0.5
n2_x_SG,LiWP_n2+SkipGram,best_single,S1,fold0,cross_feature,2,WeightedSoft,val_f1,0.8819128171763175,0.8594741613780599,0.9728065674704977,0.9126353790613718,815,310,53,1896,0.9444911920643064,0.9261640499197099,0.27555555555555555,0.635
n2_x_SG,LiWP_n2+SkipGram,best_single,S1,fold0,cross_feature,2,Hard,fixed_05,0.8093689004554326,0.7701149425287356,0.9969214982042073,0.8689624329159212,545,580,6,1943,0.8054183911977653,0.8168926525132721,0.5155555555555555,0.5
n2_x_SG,LiWP_n2+SkipGram,best_single,S1,fold0,cross_feature,2,Hard,val_f1,0.8562134027325959,0.8175305520438264,0.995382247306311,0.8977325312355391,692,433,9,1940,0.8054183911977653,0.8168926525132721,0.3848888888888889,0.5049999999999999
n2_x_SG,LiWP_n2+SkipGram,best_single,S1,fold1,cross_feature,2,Soft,fixed_05,0.8861418347430059,0.8616010854816825,0.9774243201641868,0.9158653846153846,819,306,44,1905,0.9501624764836668,0.9302394668047906,0.272,0.5
n2_x_SG,LiWP_n2+SkipGram,best_single,S1,fold1,cross_feature,2,Soft,val_f1,0.913142485361093,0.899335232668566,0.9717804002052335,0.9341553637484586,913,212,55,1894,0.9501624764836668,0.9302394668047906,0.18844444444444444,0.5499999999999999
n2_x_SG,LiWP_n2+SkipGram,best_single,S1,fold1,cross_feature,2,WeightedSoft,fixed_05,0.8884189980481457,0.8646684831970936,0.9769112365315546,0.9173693086003373,827,298,45,1904,0.9502199418505215,0.9303516648752802,0.2648888888888889,0.5
n2_x_SG,LiWP_n2+SkipGram,best_single,S1,fold1,cross_feature,2,WeightedSoft,val_f1,0.913142485361093,0.899335232668566,0.9717804002052335,0.9341553637484586,913,212,55,1894,0.9502199418505215,0.9303516648752802,0.18844444444444444,0.5449999999999999
n2_x_SG,LiWP_n2+SkipGram,best_single,S1,fold1,cross_feature,2,Hard,fixed_05,0.8461288223812622,0.8064784053156147,0.9964084145715751,0.8914390635758549,659,466,7,1942,0.958668034889687,0.9566542397017945,0.4142222222222222,0.5
n2_x_SG,LiWP_n2+SkipGram,best_single,S1,fold1,cross_feature,2,Hard,val_f1,0.8461288223812622,0.8064784053156147,0.9964084145715751,0.8914390635758549,659,466,7,1942,0.958668034889687,0.9566542397017945,0.4142222222222222,0.05
n2_x_SG,LiWP_n2+SkipGram,best_single,S1,fold2,cross_feature,2,Soft,fixed_05,0.7950553025374105,0.7563155849203265,0.9984607491021037,0.8606811145510835,498,627,3,1946,0.9331892138418562,0.9183234122389802,0.5573333333333333,0.5
n2_x_SG,LiWP_n2+SkipGram,best_single,S1,fold2,cross_feature,2,Soft,val_f1,0.8510084580351334,0.8198198198198198,0.9805028219599795,0.8929906542056075,705,420,38,1911,0.9331892138418562,0.9183234122389802,0.37333333333333335,0.6499999999999999
n2_x_SG,LiWP_n2+SkipGram,best_single,S1,fold2,cross_feature,2,WeightedSoft,fixed_05,0.7940793754066363,0.7554347826086957,0.9984607491021037,0.860110497237569,495,630,3,1946,0.9350249130608288,0.9201981765971033,0.56,0.5
