combo,source,fusion,threshold_mode,f1_mean,f1_std,prec_mean,rec_mean,roc_auc_mean,fpr_mean,threshold_mean,threshold_std
n2_n3_SG,best_single,WeightedSoft,fixed_05,0.8682021567549402,0.14827208342062753,0.9231259818978907,0.8580225915909441,0.950097666347672,0.10963821668643732,0.5,0.0
n3_x_SG,best_single,Hard,fixed_05,0.867452653676027,0.10336573585808063,0.8612021042335509,0.9064483220641233,0.8827192442045421,0.25641862396204035,0.5,0.0
n2_x_SG,best_single,Hard,fixed_05,0.866189365370821,0.09890548221997131,0.8682981278604528,0.8948125851729125,0.8705597176259483,0.24317593910636615,0.5,0.0
n2_x_SG,best_single,WeightedSoft,fixed_05,0.8653959858816922,0.1342981527145567,0.9092799747881177,0.8625868806167316,0.940903876339777,0.1344873665480427,0.5,0.0
n2_n3_SG,best_single,Soft,fixed_05,0.8631103167166927,0.1524680893862645,0.922118137563195,0.8514607942270599,0.9493883726316673,0.10983831553973902,0.5,0.0
n2_x_n3,best_single,Hard,fixed_05,0.857058397719993,0.15028098058085174,0.9013911300704651,0.8620237922466046,0.8685453624935278,0.18849072756030053,0.5,0.0
n3_x_SG,best_single,WeightedSoft,fixed_05,0.8555972942932583,0.1804756853487387,0.9144283120953041,0.8536546154253977,0.9471928318454242,0.12021854487939898,0.5,0.0
n2_n3_SG,best_single,Hard,fixed_05,0.8550297704118293,0.1572887307449822,0.9196713499817555,0.8418909314426314,0.8923322167791679,0.14071032028469752,0.5,0.0
n2_x_SG,best_single,Soft,fixed_05,0.8542694527268342,0.14352101235621378,0.9074465749052513,0.8475565252531163,0.9401013768555921,0.13506538157374456,0.5,0.0
n3_x_SG,best_single,Soft,fixed_05,0.8447334506184856,0.1846046933180766,0.912187481883725,0.8389109857773045,0.9459792315009631,0.12195211546065639,0.5,0.0
n2_x_n3,best_single,WeightedSoft,fixed_05,0.8335720776115796,0.17096892852686058,0.927087465714268,0.8042803019519313,0.9557396631819334,0.12910954922894424,0.5,0.0
n2_x_n3,best_single,Soft,fixed_05,0.8331981866842222,0.17032801912353712,0.9267903767396417,0.8036360833656883,0.9556845189934504,0.12957623566627124,0.5,0.0
n3_x_SG,ENS_Fast2_Soft,Hard,fixed_05,0.6241221216250354,0.303575223076346,0.8967044807122664,0.556370126135408,0.754208860833128,0.06885599051008304,0.5,0.0
n2_x_SG,ENS_Fast2_Soft,Hard,fixed_05,0.601170959662577,0.30937875545836685,0.8942728946776434,0.5347961619951555,0.7429568642233616,0.07010092922103597,0.5,0.0
n3_x_SG,ENS_All_Soft,Hard,fixed_05,0.5786998538057413,0.3455264016704976,0.9178909907048105,0.5115028803868152,0.7404265124717243,0.041228647686832744,0.5,0.0
n2_x_SG,ENS_All_Soft,Hard,fixed_05,0.5760797140390549,0.35120428414823074,0.9171386656367879,0.5118574024300513,0.7405983276697399,0.04102854883353104,0.5,0.0
n2_x_n3,ENS_Fast2_Soft,Hard,fixed_05,0.564908885980244,0.3662831259657896,0.9077322442370207,0.49635436815895073,0.7362761670127754,0.029404982206405694,0.5,0.0
n3_x_SG,ENS_Best2_Soft,Hard,fixed_05,0.5589934740813907,0.35339343106995513,0.8964684183210027,0.4912926856034113,0.7317205770152735,0.03962878608145512,0.5,0.0
n2_x_SG,ENS_Best2_Soft,Hard,fixed_05,0.55489559069909,0.35367086482047116,0.8955227778649528,0.48741047210330174,0.7292879455115824,0.04020654408857256,0.5,0.0
n3_x_SG,ENS_Fast2_Soft,WeightedSoft,fixed_05,0.5382255092299829,0.3695068107215722,0.9208799349621455,0.46585659015281766,0.8964912854485692,0.023425998418347173,0.5,0.0
n3_x_SG,ENS_Fast2_Soft,Soft,fixed_05,0.5378641477414549,0.369698604318352,0.9180660508419815,0.4656777877086872,0.8932240979841568,0.023848299723210755,0.5,0.0
n2_x_SG,ENS_Fast2_Soft,WeightedSoft,fixed_05,0.5358875275164023,0.36550065535896975,0.93584616297077,0.465061518557495,0.8860636762647509,0.02462607750098853,0.5,0.0
n2_x_SG,ENS_Fast2_Soft,Soft,fixed_05,0.5342870124634985,0.36643502492929453,0.9342458468880425,0.4638191269194233,0.8841377187472454,0.024959410834321866,0.5,0.0
n2_n3_SG,ENS_Fast2_Soft,Hard,fixed_05,0.5203328999490113,0.38177806519589946,0.9137558596331259,0.454262393409652,0.7593806641256828,0.021936832740213526,0.5,0.0
n2_n3_SG,ENS_Fast2_Soft,WeightedSoft,fixed_05,0.5057710825936256,0.3945423188399163,0.9132814812602612,0.4433631500528123,0.9050817990736428,0.018180644523527086,0.5,0.0
n2_n3_SG,ENS_Fast2_Soft,Soft,fixed_05,0.505516678980195,0.3945567427916237,0.9120605752383056,0.44315673781130815,0.9024667349389677,0.01842510873863187,0.5,0.0
n2_x_SG,ENS_All_Soft,Soft,fixed_05,0.5026755942837101,0.4047921047878557,0.9102082281421838,0.44690372421984864,0.9153212720443756,0.018891814946619217,0.5,0.0
n2_x_SG,ENS_All_Soft,WeightedSoft,fixed_05,0.5021724682622206,0.40532426399615046,0.9086937721879067,0.44661041386396816,0.9162093955115257,0.01873623962040332,0.5,0.0
n2_x_n3,ENS_Fast2_Soft,WeightedSoft,fixed_05,0.5000147774594451,0.4001994195043109,0.8952185945510335,0.43914835452053913,0.9044516245187639,0.016758422301304865,0.5,0.0
n2_x_n3,ENS_Fast2_Soft,Soft,fixed_05,0.4999565265343258,0.4003122816389682,0.8945909678459556,0.4391380048531075,0.9042199264331569,0.016736200079082643,0.5,0.0
n2_x_n3,ENS_All_Soft,Hard,fixed_05,0.49961116493426,0.4099076597907487,0.8953314584500243,0.4459089271839282,0.7147298924268642,0.01871393831553974,0.5,0.0
n3_x_SG,ENS_All_Soft,Soft,fixed_05,0.4980405601741465,0.4007639611860914,0.8948339748156198,0.4378880174496266,0.9209679307212978,0.017958501383946224,0.5,0.0
n3_x_SG,ENS_All_Soft,WeightedSoft,fixed_05,0.4974251012383498,0.40138367495330146,0.8930029211450392,0.4375071193863291,0.9224166783730041,0.017758481613285883,0.5,0.0
n2_n3_SG,ENS_All_Soft,Hard,fixed_05,0.4884229583245552,0.41041648515017004,0.8959864174445256,0.4337186881078464,0.7437834310353837,0.016602649268485568,0.5,0.0
n2_n3_SG,ENS_All_Soft,Soft,fixed_05,0.48707759906572956,0.4099058012496669,0.8880931100879291,0.43111027611533104,0.9265520725449132,0.016158244365361805,0.5,0.0
n2_n3_SG,ENS_All_Soft,WeightedSoft,fixed_05,0.4869627421520761,0.41007956067207263,0.888000752895769,0.4310766135433866,0.9275859452375685,0.016091577698695136,0.5,0.0
n2_x_n3,ENS_Best2_Soft,Hard,fixed_05,0.48486324347496057,0.41208630069539015,0.867708889099398,0.42911208196275474,0.7078555038222415,0.015335606959272441,0.5,0.0
n2_x_SG,ENS_Best2_Soft,Soft,fixed_05,0.48329460116142287,0.40258199914769227,0.8852990314895385,0.4238441197760229,0.9268533933182613,0.01804695531830763,0.5,0.0
n2_x_SG,ENS_Best2_Soft,WeightedSoft,fixed_05,0.48283009867221943,0.40306422804770814,0.8861382685915654,0.42358872000515635,0.9276645497579038,0.018002491103202848,0.5,0.0
n2_x_n3,ENS_All_Soft,WeightedSoft,fixed_05,0.4820166184899971,0.4102626277134925,0.8772004426329335,0.4251473113182203,0.9379489974252608,0.015002471332542507,0.5,0.0
n2_x_n3,ENS_All_Soft,Soft,fixed_05,0.48201657650062624,0.4102449984859542,0.8768966606442579,0.42513815952365297,0.9375893809801861,0.01502469355476473,0.5,0.0
n2_n3_SG,ENS_Best2_Soft,Hard,fixed_05,0.47609014684371986,0.4099161629924319,0.8720955651785992,0.41826832428240496,0.7333992026070929,0.013779794385132462,0.5,0.0
n3_x_SG,ENS_Best2_Soft,Soft,fixed_05,0.47468924531906953,0.40846204547202136,0.8564212306739416,0.4165258489496072,0.9292388482569752,0.01564661921708185,0.5,0.0
n3_x_SG,ENS_Best2_Soft,WeightedSoft,fixed_05,0.47444010528875513,0.4086021233909253,0.8577248250884525,0.4163629691800588,0.9299418621008886,0.0155354883353104,0.5,0.0
