feature_id,family,system,name,ensemble,avg_f1,worst_f1,std_f1,avg_roc_auc,worst_roc_auc,std_roc_auc,avg_pr_auc,worst_pr_auc,std_pr_auc,avg_prec,avg_rec,avg_acc,worst_acc,std_acc,train_time,infer_time
STACKING,STACK,stacking,LR_meta(LiWP:RF | SkipGram:RF | OpPhrase:KNN | LiWP:RF | OpPhrase:RF | OpPhrase:RF),OOF_STACK_k6,0.9477434679334917,0.9477434679334917,,0.9906942126870613,0.9906942126870613,,0.9829964011971233,0.9829964011971233,,0.9443786982248521,0.9511323003575686,0.955193482688391,0.955193482688391,,0.0,0.23887014389038086
STACKING,STACK,stacking,LR_meta(LiWP:RF | SkipGram:RF | OpPhrase:RF | LiWP:RF | OpPhrase:RF | LiWP:KNN),OOF_STACK_k6,0.9400560224089636,0.9400560224089636,,0.9813911622620062,0.9813911622620062,,0.9969009382279076,0.9969009382279076,,0.9910229151901725,0.894075021312873,0.8981825102293273,0.8981825102293273,,0.0,15.0760018825531
OpPhrase_unigram_only_dim128_win5,OpPhrase,within_feature,KNN+RF,Best2_Soft,0.9283196239717979,0.9283196239717979,,0.9859605350284731,0.9859605350284731,,0.9790289382969309,0.9790289382969309,,0.9154113557358053,0.9415971394517283,0.9378818737270875,0.9378818737270875,,0.0,0.07805585861206055
OpPhrase_unigram_only_dim128_win5,OpPhrase,within_feature,KNN+RF,Best2_WeightedSoft,0.9283196239717979,0.9283196239717979,,0.9859605350284731,0.9859605350284731,,0.9790289382969309,0.9790289382969309,,0.9154113557358053,0.9415971394517283,0.9378818737270875,0.9378818737270875,,0.0,0.0781865119934082
LiWP_n3_minDf1_SPARSE,LiWP,within_feature,LinearSVC+RF,Best2_Hard,0.916396629941672,0.916396629941672,,,,,,,,0.889308176100629,0.9451871657754011,0.9310897435897436,0.9310897435897436,,0.0,0.056379079818725586
STACKING,STACK,stacking,LR_meta(LiWP:LinearSVC | SkipGram:RF | OpPhrase:RF | LiWP:RF | LiWP:RF | LiWP:LinearSVC),OOF_STACK_k6,0.8921161825726142,0.8921161825726142,,0.9843473461853198,0.9843473461853198,,0.956323386536513,0.956323386536513,,0.9240687679083095,0.8622994652406417,0.9166666666666666,0.9166666666666666,,0.0,0.14116954803466797
OpPhrase_unigram_only_dim128_win5,OpPhrase,within_feature,KNN+RF,Best2_Hard,0.8773784355179705,0.8773784355179705,,,,,,,,0.7882241215574549,0.9892729439809297,0.8818737270875764,0.8818737270875764,,0.0,0.06551122665405273
LiWP_n3_minDf1_SPARSE,LiWP,within_feature,LinearSVC+RF,Best2_Soft,0.8724637681159421,0.8724637681159421,,0.9845852284621387,0.9845852284621387,,0.9555748479492802,0.9555748479492802,,0.9525316455696202,0.8048128342245989,0.905982905982906,0.905982905982906,,0.0,0.0868220329284668
LiWP_n3_minDf1_SPARSE,LiWP,within_feature,LinearSVC+RF,Best2_WeightedSoft,0.8724637681159421,0.8724637681159421,,0.9845864178735227,0.9845864178735227,,0.9555771667612106,0.9555771667612106,,0.9525316455696202,0.8048128342245989,0.905982905982906,0.905982905982906,,0.0,0.08715677261352539
LiWP_n2_minDf1_SPARSE,LiWP,within_feature,LR+DT,Fast2_Hard,0.8708132335170894,0.6185295087372239,0.12369375217355746,,,,,,,0.8624537284852593,0.9040184683803644,0.8698565034363961,0.623739837398374,0.1155658577672284,0.0,0.001448859487261091
LiWP_n3_minDf1_SPARSE,LiWP,within_feature,LR+DT,Fast2_Hard,0.8640555619917651,0.5740639534275621,0.1349969969494628,,,,,,,0.8871499797019978,0.8703140572059447,0.8538863822944601,0.5880730121475467,0.1393844597569178,0.0,0.0040154576301574705
OpPhrase_unigram_only_dim128_win5,OpPhrase,within_feature,RF+LinearSVC,Best2_WeightedSoft,0.8490304709141274,0.8490304709141274,,0.9704242424242425,0.9704242424242425,,0.9597405715704705,0.9597405715704705,,0.8807471264367817,0.81951871657754,0.8836091831286705,0.8836091831286705,,0.0,0.06910061836242676
LiWP_n3_minDf1_SPARSE,LiWP,single,LR,-,0.8489317546063198,0.4419381782830573,0.17959178420189756,0.9178401582264617,0.6447142621348382,0.11644666659783516,0.9360059866915585,0.7381978974031113,0.0826102728404629,0.9018694820877743,0.838218935912592,0.8466669903330505,0.5151177223085626,0.16542174805451598,0.0,0.0015425503253936768
OpPhrase_unigram_only_dim128_win5,OpPhrase,within_feature,RF+LinearSVC,Best2_Soft,0.8484429065743945,0.8484429065743945,,0.969590017825312,0.969590017825312,,0.9589029814910283,0.9589029814910283,,0.8794835007173601,0.81951871657754,0.8830752802989856,0.8830752802989856,,0.0,0.06935787200927734
SkipGram_compact_dim64_win3,SkipGram,within_feature,RF+LinearSVC,Best2_WeightedSoft,0.8439226519337016,0.8439226519337016,,0.970488413547237,0.970488413547237,,0.9599476243405501,0.9599476243405501,,0.8728571428571429,0.8168449197860963,0.8793379604911906,0.8793379604911906,,0.0,0.0681602954864502
SkipGram_compact_dim64_win3,SkipGram,within_feature,RF+LinearSVC,Best2_Soft,0.8433402346445825,0.8433402346445825,,0.9694379084967321,0.9694379084967321,,0.9588697838983089,0.9588697838983089,,0.8716119828815977,0.8168449197860963,0.8788040576615056,0.8788040576615056,,0.0,0.06806206703186035
OpPhrase_unigram_topk_bigram_dim128_win5,OpPhrase,within_feature,RF+LinearSVC,Best2_WeightedSoft,0.8417415342087077,0.8417415342087077,,0.9717088532382651,0.9717088532382651,,0.9602784719842441,0.9602784719842441,,0.871244635193133,0.8141711229946524,0.8777362520021356,0.8777362520021356,,0.0,0.05707287788391113
OpPhrase_unigram_topk_bigram_dim128_win5,OpPhrase,within_feature,RF+LinearSVC,Best2_Soft,0.8411602209944752,0.8411602209944752,,0.9707783719548426,0.9707783719548426,,0.9593405735648017,0.9593405735648017,,0.87,0.8141711229946524,0.8772023491724507,0.8772023491724507,,0.0,0.055385589599609375
LiWP_n2_minDf1_SPARSE,LiWP,single,LR,-,0.8179503014267031,0.3923875770357367,0.19546590931798302,0.8986916949612027,0.5937475391456035,0.12967840481263895,0.924803032030802,0.7180265856164905,0.08711097269275282,0.8762872903064747,0.812105353423332,0.8172752586741038,0.48351629716557243,0.17662971881690048,0.0,0.0005800962448120117
LiWP_n2_minDf1_SPARSE,LiWP,within_feature,RF+LinearSVC,Best2_Hard,0.8164793187719552,0.43287768773470264,0.21017389302884515,,,,,,,0.906273170147485,0.7935148871293183,0.8182609736150224,0.38532844680515693,0.21618542160142995,0.0,0.03283489992221197
OpPhrase_unigram_topk_bigram_dim128_win5,OpPhrase,within_feature,DT+LR,Fast2_Hard,0.814745804830113,0.7169639968028647,0.09959024349941843,,,,,,,0.7696906339840923,0.8989453127210564,0.7751272548011419,0.666893843762885,0.10078919485636408,0.0,0.0012179911136627197
OpPhrase_unigram_only_dim128_win5,OpPhrase,within_feature,DT+LR,Fast2_Hard,0.8112017203849489,0.6837238352653682,0.1015624303409713,,,,,,,0.7695337512212425,0.8928313738729787,0.7704309850131698,0.6197426284796007,0.10598271347517238,0.0,0.0011919915676116943
