feature_id,family,target,fold,system,name,ensemble,threshold,acc,prec,rec,f1,tn,fp,fn,tp,roc_auc,pr_auc,train_time,infer_time
LiWP_n2_minDf1_SPARSE,LiWP,S1,0,single,LR,-,0.33082282543182373,0.9212752114508783,0.9070100143061517,0.9758850692662904,0.9401878398418191,930.0,195.0,47.0,1902.0,0.9355918134655948,0.9108196992733455,0.0,0.0004723072052001953
LiWP_n2_minDf1_SPARSE,LiWP,S1,0,single,LinearSVC,-,-0.40476013720035553,0.9427456083279115,0.9382105783489867,0.9738327347357619,0.9556898288016112,1000.0,125.0,51.0,1898.0,0.9421916652414344,0.9329306904534671,0.0,0.0006003379821777344
LiWP_n2_minDf1_SPARSE,LiWP,S1,0,single,KNN,-,0.800000011920929,0.3789850357839948,0.6,0.06157003591585428,0.11167985109353187,1045.0,80.0,1829.0,120.0,0.8831633316230545,0.8765129893570096,0.0,5.38681435585022
LiWP_n2_minDf1_SPARSE,LiWP,S1,0,single,DT,-,0.0017112466739490628,0.4202992843201041,0.7041564792176039,0.1477680861980503,0.24427480916030533,1004.0,121.0,1661.0,288.0,0.5229302776352547,0.6566148482497025,0.0,0.0005645751953125
LiWP_n2_minDf1_SPARSE,LiWP,S1,0,single,RF,-,0.5698443651199341,0.4209499024072869,0.7752442996742671,0.12211390456644433,0.21099290780141844,1056.0,69.0,1711.0,238.0,0.8089851205746537,0.8274850682554813,0.0,0.023360013961791992
LiWP_n2_minDf1_SPARSE,LiWP,S1,0,within_feature,LR+LinearSVC+KNN+DT+RF,All_Hard,,0.44664931685100845,0.7966507177033493,0.17085684966649564,0.2813688212927757,1040.0,85.0,1616.0,333.0,,,0.0,5.411853551864624
LiWP_n2_minDf1_SPARSE,LiWP,S1,0,within_feature,LR+LinearSVC+KNN+DT+RF,All_Soft,0.3335362374782562,0.44534808067664283,0.805,0.16521292970754234,0.27415921668795235,1047.0,78.0,1627.0,322.0,0.9020160766204891,0.8853267562745609,0.0,5.441310405731201
LiWP_n2_minDf1_SPARSE,LiWP,S1,0,within_feature,LR+LinearSVC+KNN+DT+RF,All_WeightedSoft,0.3334184065461159,0.4479505530253741,0.8103448275862069,0.16880451513596717,0.2794055201698514,1048.0,77.0,1620.0,329.0,0.9020215495125705,0.8851829769347763,0.0,5.441343545913696
LiWP_n2_minDf1_SPARSE,LiWP,S1,0,within_feature,RF+LinearSVC,Best2_Hard,,0.9404684450227716,0.932843137254902,0.9763981528989225,0.9541238405615442,988.0,137.0,46.0,1903.0,,,0.0,0.023991107940673828
LiWP_n2_minDf1_SPARSE,LiWP,S1,0,within_feature,RF+LinearSVC,Best2_Soft,0.3449924439191818,0.43233571893298633,0.8035714285714286,0.13853258081067213,0.2363238512035011,1059.0,66.0,1679.0,270.0,0.9041281568895729,0.8893233696605476,0.0,0.054062843322753906
